,season,abbreviation,playoffs,w,l,pw,pl,mov,srs,o_rtg,x3p_ar,e_fg_percent,tov_percent,orb_percent,ft_fga
134,2020,HOU,True,44.0,28.0,42.0,30.0,2.96,3.13,112.9,0.501,0.537,12.6,21.0,0.228
135,2020,IND,True,45.0,28.0,41.0,32.0,1.96,1.63,110.0,0.317,0.534,12.0,20.0,0.17
136,2020,LAC,True,49.0,23.0,50.0,22.0,6.44,6.66,113.9,0.375,0.535,12.6,23.5,0.233
137,2020,LAL,True,52.0,19.0,48.0,23.0,5.79,6.28,112.0,0.358,0.542,13.3,24.5,0.201
138,2020,MEM,False,34.0,39.0,34.0,39.0,-1.07,-0.91,109.2,0.346,0.528,13.2,23.0,0.183
139,2020,MIA,True,44.0,29.0,43.0,30.0,2.95,2.59,112.5,0.419,0.547,13.5,20.3,0.234
140,2020,MIL,True,56.0,17.0,57.0,16.0,10.08,9.41,112.4,0.428,0.552,12.9,20.7,0.201
141,2020,MIN,False,19.0,45.0,24.0,40.0,-4.3,-4.02,108.1,0.433,0.514,13.0,22.1,0.209
142,2020,NOP,False,30.0,42.0,33.0,39.0,-1.29,-0.55,110.7,0.403,0.539,13.9,24.2,0.186
143,2020,NYK,False,21.0,45.0,20.0,46.0,-6.45,-6.72,106.5,0.318,0.501,12.6,25.8,0.182
144,2020,OKC,True,44.0,28.0,41.0,31.0,1.99,2.33,110.8,0.353,0.53,12.4,19.3,0.231
145,2020,ORL,True,33.0,40.0,34.0,39.0,-1.01,-0.93,108.5,0.364,0.506,11.5,22.3,0.198
146,2020,PHI,True,43.0,30.0,42.0,31.0,2.38,2.25,111.3,0.36,0.534,12.7,23.9,0.193
147,2020,PHO,False,34.0,39.0,37.0,36.0,0.22,0.56,111.7,0.361,0.532,13.0,22.2,0.226
148,2020,POR,True,35.0,39.0,34.0,40.0,-1.15,-0.61,113.7,0.374,0.533,11.2,22.4,0.194
149,2020,SAC,False,31.0,41.0,31.0,41.0,-2.04,-1.59,110.2,0.395,0.534,13.0,21.9,0.177
150,2020,SAS,False,32.0,39.0,33.0,38.0,-1.11,-0.65,112.4,0.318,0.531,11.2,20.1,0.212
151,2020,TOR,True,53.0,19.0,50.0,22.0,6.24,5.97,111.1,0.421,0.536,13.1,21.3,0.21
152,2020,UTA,True,44.0,28.0,42.0,30.0,2.47,2.52,112.3,0.414,0.549,13.7,21.6,0.208
153,2020,WAS,False,25.0,47.0,26.0,46.0,-4.67,-5.24,110.9,0.358,0.523,12.2,22.2,0.213
155,2019,ATL,False,29.0,53.0,27.0,55.0,-6.02,-6.06,108.1,0.403,0.522,14.3,24.7,0.192
156,2019,BOS,True,49.0,33.0,52.0,30.0,4.44,3.9,112.2,0.381,0.534,11.5,21.6,0.173
157,2019,BRK,True,42.0,40.0,41.0,41.0,-0.07,-0.4,109.6,0.403,0.52,13.0,23.8,0.211
158,2019,CHI,False,22.0,60.0,21.0,61.0,-8.41,-8.32,104.8,0.295,0.505,12.7,19.4,0.184
159,2019,CHO,False,39.0,43.0,38.0,44.0,-1.1,-1.32,111.4,0.378,0.514,10.9,21.7,0.205
160,2019,CLE,False,19.0,63.0,19.0,63.0,-9.61,-9.39,107.7,0.332,0.503,12.2,23.7,0.187
161,2019,DAL,False,33.0,49.0,38.0,44.0,-1.28,-0.87,109.4,0.422,0.519,12.7,22.7,0.216
162,2019,DEN,True,54.0,28.0,51.0,31.0,3.95,4.19,113.0,0.348,0.527,11.9,26.6,0.175
163,2019,DET,True,41.0,41.0,40.0,42.0,-0.24,-0.56,109.0,0.394,0.509,12.3,24.8,0.195
164,2019,GSW,True,57.0,25.0,56.0,26.0,6.46,6.42,115.9,0.384,0.565,12.6,22.5,0.182
165,2019,HOU,True,53.0,29.0,53.0,29.0,4.77,4.96,115.5,0.519,0.542,12.0,22.8,0.221
166,2019,IND,True,48.0,34.0,50.0,32.0,3.33,2.76,109.9,0.292,0.53,12.4,21.9,0.182
167,2019,LAC,True,48.0,34.0,43.0,39.0,0.85,1.09,112.4,0.295,0.529,12.7,22.0,0.258
168,2019,LAL,False,37.0,45.0,37.0,45.0,-1.72,-1.33,107.8,0.342,0.527,13.4,22.2,0.18
169,2019,MEM,False,33.0,49.0,34.0,48.0,-2.6,-2.08,106.1,0.342,0.508,12.9,20.0,0.21
170,2019,MIA,False,39.0,43.0,40.0,42.0,-0.23,-0.45,107.3,0.368,0.515,13.1,24.8,0.172
171,2019,MIL,True,60.0,22.0,61.0,21.0,8.87,8.04,113.8,0.419,0.55,12.0,20.8,0.197
172,2019,MIN,False,36.0,46.0,37.0,45.0,-1.5,-1.02,111.4,0.315,0.511,11.4,24.6,0.21
173,2019,NOP,False,33.0,49.0,38.0,44.0,-1.33,-1.1,111.4,0.324,0.529,12.6,24.1,0.193
174,2019,NYK,False,17.0,65.0,19.0,63.0,-9.21,-8.93,104.5,0.334,0.49,12.4,22.1,0.205
175,2019,OKC,True,49.0,33.0,50.0,32.0,3.4,3.56,110.3,0.347,0.514,11.7,26.0,0.19
176,2019,ORL,True,42.0,40.0,43.0,39.0,0.71,0.28,108.9,0.36,0.518,11.9,22.0,0.168
177,2019,PHI,True,51.0,31.0,48.0,34.0,2.7,2.25,112.6,0.342,0.532,12.9,24.5,0.241
178,2019,PHO,False,19.0,63.0,19.0,63.0,-9.34,-8.61,105.9,0.335,0.514,13.8,20.5,0.202
179,2019,POR,True,53.0,29.0,51.0,31.0,4.2,4.43,114.7,0.339,0.528,12.1,26.6,0.21
180,2019,SAC,False,39.0,43.0,38.0,44.0,-1.12,-0.81,110.4,0.321,0.524,11.5,23.1,0.177
181,2019,SAS,True,48.0,34.0,45.0,37.0,1.68,1.8,112.9,0.286,0.534,11.0,21.0,0.194
182,2019,TOR,True,58.0,24.0,56.0,26.0,6.09,5.49,113.1,0.379,0.543,12.4,21.9,0.198
183,2019,UTA,True,50.0,32.0,54.0,28.0,5.26,5.28,110.9,0.394,0.538,13.4,22.9,0.217
184,2019,WAS,False,32.0,50.0,34.0,48.0,-2.9,-3.3,111.1,0.37,0.531,12.3,21.3,0.204
186,2018,ATL,False,24.0,58.0,27.0,55.0,-5.45,-5.3,105.0,0.363,0.512,14.1,21.1,0.185
187,2018,BOS,True,55.0,27.0,51.0,31.0,3.59,3.23,107.6,0.357,0.518,13.0,21.5,0.188
188,2018,BRK,False,28.0,54.0,31.0,51.0,-3.74,-3.67,106.9,0.411,0.514,13.6,21.0,0.201
189,2018,CHI,False,27.0,55.0,23.0,59.0,-7.04,-6.84,103.8,0.35,0.497,12.6,20.6,0.164
190,2018,CHO,False,36.0,46.0,42.0,40.0,0.26,0.07,109.4,0.314,0.508,11.4,22.2,0.233
191,2018,CLE,True,50.0,32.0,43.0,39.0,0.94,0.59,112.9,0.379,0.547,12.6,20.1,0.214
192,2018,DAL,False,24.0,58.0,33.0,49.0,-3.04,-2.7,106.3,0.382,0.513,11.6,18.0,0.166
193,2018,DEN,False,46.0,36.0,45.0,37.0,1.48,1.57,112.5,0.357,0.536,13.4,25.7,0.198
194,2018,DET,False,39.0,43.0,41.0,41.0,-0.15,-0.26,107.2,0.333,0.512,12.3,22.7,0.169
195,2018,GSW,True,58.0,24.0,56.0,26.0,5.98,5.79,113.6,0.339,0.569,14.1,21.0,0.195
196,2018,HOU,True,65.0,17.0,61.0,21.0,8.48,8.21,114.7,0.502,0.551,12.7,21.3,0.233
197,2018,IND,True,48.0,34.0,45.0,37.0,1.38,1.18,109.5,0.284,0.525,12.3,22.7,0.173
198,2018,LAC,False,42.0,40.0,41.0,41.0,0.04,0.15,110.3,0.314,0.527,13.2,23.5,0.222
199,2018,LAL,False,35.0,47.0,37.0,45.0,-1.55,-1.44,106.5,0.329,0.517,13.8,23.6,0.188
200,2018,MEM,False,22.0,60.0,25.0,57.0,-6.21,-5.81,104.5,0.317,0.5,14.0,22.4,0.201
201,2018,MIA,True,44.0,38.0,42.0,40.0,0.48,0.15,106.8,0.358,0.52,13.3,21.5,0.173
202,2018,MIL,True,44.0,38.0,40.0,42.0,-0.3,-0.45,109.8,0.297,0.531,12.9,20.4,0.22
203,2018,MIN,True,47.0,35.0,47.0,35.0,2.23,2.35,113.4,0.261,0.523,11.4,24.4,0.225
204,2018,NOP,True,48.0,34.0,44.0,38.0,1.3,1.48,109.6,0.319,0.541,13.3,20.0,0.183
205,2018,NYK,False,29.0,53.0,32.0,50.0,-3.56,-3.53,107.1,0.266,0.51,13.3,24.1,0.17
206,2018,OKC,True,48.0,34.0,50.0,32.0,3.41,3.42,110.7,0.345,0.514,12.4,27.7,0.197
207,2018,ORL,False,25.0,57.0,28.0,54.0,-4.82,-4.92,105.2,0.342,0.512,13.3,20.0,0.18
208,2018,PHI,True,52.0,30.0,53.0,29.0,4.5,4.3,109.5,0.344,0.535,14.6,25.3,0.198
209,2018,PHO,False,21.0,61.0,19.0,63.0,-9.37,-8.8,103.5,0.32,0.495,13.9,22.5,0.203
210,2018,POR,True,49.0,33.0,48.0,34.0,2.6,2.6,109.1,0.324,0.511,12.3,23.3,0.192
211,2018,SAC,False,27.0,55.0,23.0,59.0,-6.99,-6.6,103.7,0.278,0.502,12.8,21.5,0.143
212,2018,SAS,True,47.0,35.0,49.0,33.0,2.89,2.89,107.9,0.282,0.507,12.2,23.7,0.189
213,2018,TOR,True,59.0,23.0,60.0,22.0,7.78,7.29,113.8,0.377,0.539,12.1,23.0,0.198
214,2018,UTA,True,48.0,34.0,53.0,29.0,4.3,4.47,108.4,0.357,0.527,13.7,21.5,0.202
215,2018,WAS,True,43.0,39.0,43.0,39.0,0.59,0.53,109.3,0.31,0.525,13.3,23.5,0.196
217,2017,ATL,True,43.0,39.0,39.0,43.0,-0.85,-1.23,104.9,0.309,0.504,14.2,23.6,0.215
218,2017,BOS,True,53.0,29.0,48.0,34.0,2.63,2.25,111.2,0.393,0.525,12.2,21.2,0.22
219,2017,BRK,False,20.0,62.0,24.0,58.0,-6.73,-6.74,104.1,0.371,0.507,14.7,19.6,0.228
220,2017,CHI,True,41.0,41.0,42.0,40.0,0.43,0.03,107.4,0.256,0.487,12.3,27.0,0.206
221,2017,CHO,False,36.0,46.0,42.0,40.0,0.2,-0.07,108.8,0.335,0.501,10.7,19.9,0.227
222,2017,CLE,True,51.0,31.0,49.0,33.0,3.18,2.87,113.6,0.399,0.547,12.6,21.9,0.206
223,2017,DAL,False,33.0,49.0,33.0,49.0,-2.93,-2.53,105.6,0.366,0.505,11.6,18.1,0.18
224,2017,DEN,False,40.0,42.0,42.0,40.0,0.51,0.7,113.2,0.329,0.53,13.2,27.3,0.214
225,2017,DET,False,37.0,45.0,38.0,44.0,-1.12,-1.29,106.0,0.263,0.492,10.9,24.1,0.157
226,2017,GSW,True,67.0,15.0,67.0,15.0,11.63,11.35,115.6,0.359,0.563,13.2,22.8,0.204
227,2017,HOU,True,55.0,27.0,55.0,27.0,5.77,5.84,114.7,0.462,0.545,13.3,24.6,0.233
228,2017,IND,True,42.0,40.0,40.0,42.0,-0.22,-0.64,108.6,0.272,0.516,12.8,21.2,0.212
229,2017,LAC,True,51.0,31.0,52.0,30.0,4.29,4.42,112.7,0.329,0.537,12.0,21.5,0.233
230,2017,LAL,False,26.0,56.0,24.0,58.0,-6.88,-6.29,106.0,0.295,0.501,13.5,25.0,0.195
231,2017,MEM,True,43.0,39.0,42.0,40.0,0.49,0.96,107.7,0.316,0.491,12.1,24.8,0.219
232,2017,MIA,False,41.0,41.0,44.0,38.0,1.06,0.77,107.8,0.314,0.512,12.4,24.2,0.177
233,2017,MIL,True,42.0,40.0,40.0,42.0,-0.18,-0.45,109.1,0.29,0.527,13.2,21.5,0.21
234,2017,MIN,False,31.0,51.0,38.0,44.0,-1.11,-0.64,110.8,0.249,0.511,12.9,27.2,0.229
